LocID,Location,Year,AgeGrp,PopMale,PopFemale
4,Afghanistan,2030,0-4,3020.571,2871.955
8,Albania,2030,0-4,68.824,63.581
12,Algeria,2030,0-4,2116.681,2026.749
24,Angola,2030,0-4,3714.206,3649.187
28,Antigua and Barbuda,2030,0-4,3.452,3.354
32,Argentina,2030,0-4,1867.24,1797.343
51,Armenia,2030,0-4,81.923,76.229
533,Aruba,2030,0-4,3.38,3.227
36,Australia,2030,0-4,838.332,794.035
40,Austria,2030,0-4,225.358,213.747
31,Azerbaijan,2030,0-4,334.125,303.299
44,Bahamas,2030,0-4,14.086,13.35
48,Bahrain,2030,0-4,56.912,54.771
50,Bangladesh,2030,0-4,6626.425,6340.916
52,Barbados,2030,0-4,7.616,7.359
112,Belarus,2030,0-4,234.26,220.495
56,Belgium,2030,0-4,312.163,297.525
84,Belize,2030,0-4,20.44,19.896
204,Benin,2030,0-4,1155.64,1122.091
64,Bhutan,2030,0-4,28.673,27.735
68,Bolivia (Plurinational State of),2030,0-4,617.924,591.381
70,Bosnia and Herzegovina,2030,0-4,58.301,55.618
72,Botswana,2030,0-4,134.954,131.852
76,Brazil,2030,0-4,6548.483,6247.917
96,Brunei Darussalam,2030,0-4,14.219,13.494
100,Bulgaria,2030,0-4,141.053,133.235
854,Burkina Faso,2030,0-4,2116.66,2041.956
108,Burundi,2030,0-4,1209.483,1185.157
132,Cabo Verde,2030,0-4,23.367,22.77
116,Cambodia,2030,0-4,849.72,814.784
120,Cameroon,2030,0-4,2389.496,2344.55
124,Canada,2030,0-4,1035.917,983.61
148,Chad,2030,0-4,1761.558,1736.175
830,Channel Islands,2030,0-4,4.59,4.349
152,Chile,2030,0-4,529.784,509.629
156,China,2030,0-4,37006.608,34026.171
344,"China, Hong Kong SAR",2030,0-4,204.247,191.825
446,"China, Macao SAR",2030,0-4,16.405,15.688
158,"China, Taiwan Province of China",2030,0-4,514.994,486.057
170,Colombia,2030,0-4,1665.276,1590.093
174,Comoros,2030,0-4,68.451,65.949
178,Congo,2030,0-4,489.161,479.036
188,Costa Rica,2030,0-4,157.067,149.718
191,Croatia,2030,0-4,80.514,76.028
192,Cuba,2030,0-4,252.127,238.615
531,Cura̤ao,2030,0-4,4.701,4.489
196,Cyprus,2030,0-4,28.858,27.079
203,Czechia,2030,0-4,253.161,239.451
384,C̫te d'Ivoire,2030,0-4,2465.411,2431.628
408,Dem. People's Republic of Korea,2030,0-4,861.262,821.186
180,Democratic Republic of the Congo,2030,0-4,9672.948,9485.467
208,Denmark,2030,0-4,174.088,165.068
262,Djibouti,2030,0-4,46.725,45.564
214,Dominican Republic,2030,0-4,470.975,451.267
218,Ecuador,2030,0-4,830.246,792.306
818,Egypt,2030,0-4,6406.606,6059.372
222,El Salvador,2030,0-4,263.909,251.807
226,Equatorial Guinea,2030,0-4,122.773,120.584
232,Eritrea,2030,0-4,270.769,259.755
233,Estonia,2030,0-4,30.175,28.458
748,Eswatini,2030,0-4,70.074,68.811
231,Ethiopia,2030,0-4,9384.418,9111.496
242,Fiji,2030,0-4,43.602,41.397
246,Finland,2030,0-4,124.493,118.567
250,France,2030,0-4,1794.983,1714.064
254,French Guiana,2030,0-4,20.434,19.485
258,French Polynesia,2030,0-4,9.382,8.938
266,Gabon,2030,0-4,163.124,159.847
270,Gambia,2030,0-4,241.814,236.93
268,Georgia,2030,0-4,111.883,105.704
276,Germany,2030,0-4,1958.966,1854.439
288,Ghana,2030,0-4,2327.492,2230.296
300,Greece,2030,0-4,171.498,161.061
308,Grenada,2030,0-4,3.849,3.677
312,Guadeloupe,2030,0-4,12.041,11.622
316,Guam,2030,0-4,6.918,6.549
320,Guatemala,2030,0-4,1081.601,1034.395
324,Guinea,2030,0-4,1244.119,1226.961
624,Guinea-Bissau,2030,0-4,169.664,166.563
328,Guyana,2030,0-4,34.735,33.154
332,Haiti,2030,0-4,622.549,599.409
340,Honduras,2030,0-4,520.546,496.558
348,Hungary,2030,0-4,220.349,208.236
352,Iceland,2030,0-4,10.04,9.537
356,India,2030,0-4,59915.824,54720.954
360,Indonesia,2030,0-4,11614.083,11108.994
364,Iran (Islamic Republic of),2030,0-4,3230.9,3074.571
368,Iraq,2030,0-4,3113.893,2941.921
372,Ireland,2030,0-4,138.67,132.11
376,Israel,2030,0-4,445.419,423.269
380,Italy,2030,0-4,1074.997,1011.946
388,Jamaica,2030,0-4,104.374,100.048
392,Japan,2030,0-4,2178.149,2063.474
400,Jordan,2030,0-4,502.219,476.842
398,Kazakhstan,2030,0-4,829.45,782.933
404,Kenya,2030,0-4,4016.565,3936.059
296,Kiribati,2030,0-4,7.722,7.417
414,Kuwait,2030,0-4,130.757,125.333
417,Kyrgyzstan,2030,0-4,355.492,337.083
428,Latvia,2030,0-4,38.798,36.677
422,Lebanon,2030,0-4,222.571,212.238
426,Lesotho,2030,0-4,122.378,120.313
430,Liberia,2030,0-4,439.542,421.795
434,Libya,2030,0-4,282.572,267.463
440,Lithuania,2030,0-4,57.099,54.213
442,Luxembourg,2030,0-4,17.633,16.839
450,Madagascar,2030,0-4,2467.941,2412.533
454,Malawi,2030,0-4,1787.971,1751.989
458,Malaysia,2030,0-4,1316.786,1241.36
462,Maldives,2030,0-4,14.283,13.392
466,Mali,2030,0-4,2244.953,2168.61
470,Malta,2030,0-4,10.637,10.043
474,Martinique,2030,0-4,9.373,9.022
478,Mauritania,2030,0-4,408.72,394.267
480,Mauritius,2030,0-4,30.942,29.742
175,Mayotte,2030,0-4,20.538,19.951
928,Melanesia,2030,0-4,766.94,718.976
484,Mexico,2030,0-4,5242.225,5000.807
